PVE_training	PVE_testing	heritability_quintile
3.12665206128453	2.57906037290866	quintile 2
18.3319805248259	15.1117014079245	quintile 2
1.98959591655848	4.00212602980325	quintile 1
0.601021354222392	0.3619087677394	quintile 1
2.11025487551932	2.26675736091339	quintile 3
0.665203001057962	0.0152986592393686	quintile 4
48.0703624340414	33.1694392409485	quintile 5
0.106060376351967	0.0552482500449666	quintile 1
0.676282819810501	1.28987167177977	quintile 4
0.459100604418184	0.105057698717354	quintile 1
1.74049538999514	0.718629084883632	quintile 1
4.84198865435724	3.99675153689701	quintile 3
19.5431379238777	17.0960863195162	quintile 2
6.2124206949832	8.83062424930114	quintile 3
0.581002820945202	0.658020200616925	quintile 2
1.00267067171523	0.0334206451082023	quintile 1
1.17841343244186	4.48697117139393	quintile 1
6.43119051833925	9.02095727312156	quintile 5
45.7104159530675	45.7766170108013	quintile 5
1.00177691337124	0.206042580018376	quintile 4
0.282408029084624	0.683346435544748	quintile 1
0.379742790330424	0.1740292693057	quintile 1
0.44319567396992	0.0205515536116035	quintile 2
0.443699601276821	0.855531992339332	quintile 1
0.158295990876281	0.124415129247107	quintile 1
4.53791611729846	2.54637451658614	quintile 5
1.39951642255972	1.20708715769098	quintile 4
11.9963577379679	9.80768483251019	quintile 2
2.89519591797529	2.28540214469971	quintile 2
9.56132245284038	2.05565586451196	quintile 4
3.49264538458257	5.11117908349965	quintile 5
2.57294191533755	1.86402250374336	quintile 4
15.3449098435672	22.0526842019936	quintile 5
11.0125717882899	10.5510698280505	quintile 4
12.0008947215604	7.84184041416258	quintile 1
5.15242776489146	4.87203579859923	quintile 5
0.969484598023872	0.527406515729812	quintile 5
0.416285647775069	0.0499668109660141	quintile 2
4.37453134637268	5.9178631578407	quintile 3
4.92649705794175	2.86293528622209	quintile 4
1.04652878567321	0.609449202674812	quintile 4
1.3792216456701	0.945969266849387	quintile 3
10.6980446373817	12.3232307383228	quintile 5
1.25063565177445	2.90408174074074	quintile 5
3.03416773187701	2.00548842409764	quintile 4
5.24547119411639	7.39819927663826	quintile 2
0.298797558833383	0.0371160413026047	quintile 1
1.34699201229002	0.250653648658526	quintile 2
26.9819160602353	32.2654155892108	quintile 2
15.8664734477817	12.0320543221611	quintile 4
8.78504916331701	9.54242376770382	quintile 5
6.25579073054024	6.46548137989018	quintile 3
2.9749395708358	1.21822464476497	quintile 4
2.03046878413332	1.87574309540639	quintile 5
0.687282321025229	1.44196523116285	quintile 3
0.260188374427251	0.119484217119535	quintile 1
3.67315697747715	5.19439561887551	quintile 4
1.19455118455736	1.21629239688309	quintile 4
2.86129836505693	2.38437961334373	quintile 4
0.154106080850049	0.824692399534186	quintile 2
26.7062456777174	45.5478675345807	quintile 5
0.988915645296187	1.38025783479282	quintile 3
10.3700082141417	14.7555099482501	quintile 5
0.664254119848969	0.0272793719202086	quintile 1
5.80436499351322	6.82948288950501	quintile 3
0.432395598155283	0.00158530564612617	quintile 1
2.84291148403387	1.43908316790149	quintile 3
7.19165109990261	3.98672351213729	quintile 5
1.55640861502634	0.485525264995063	quintile 3
4.47625998675221	7.82970016820209	quintile 3
3.24713291145166	7.67722919043821	quintile 4
2.25141912253692	1.64902046112008	quintile 4
