"","stratum","n","PRS","log_IRR","log_IRR_SE","log_IRR_p"
"1","All",6965,"PRSsum_std",0.64397901564229,0.0772167512860293,4.9876748440836e-16
"2","All",6965,"PRSstd_sum_std",0.756737569162948,0.07836811504286,1.27715896064083e-20
"3","All",5687,"PRS_gap_std",0.435619486767618,0.058680775782563,3.911221502956e-13
"4","All",5687,"PRSstd_gap_std",0.765103699029985,0.0791871287093653,1.25340467683807e-20
"5","All",6965,"PRSstd_mgb_std",0.702346852775728,0.0722250103077825,7.15997495331099e-21
"6","Healthy_sleep",1976,"PRSsum_std",0.66827894984189,0.195170921112806,0.000668878077352694
"7","Healthy_sleep",1976,"PRSstd_sum_std",0.825200699670523,0.226108114608052,0.000290991014609066
"8","Healthy_sleep",1597,"PRS_gap_std",0.381626898120066,0.154562317871963,0.0139005586071748
"9","Healthy_sleep",1597,"PRSstd_gap_std",0.771529867495656,0.259505656745784,0.00309977512578271
"10","Healthy_sleep",1976,"PRSstd_mgb_std",0.789732473858188,0.22108306453521,0.000389247901588626
"11","Insomnia",2121,"PRSsum_std",0.588242502469374,0.120472053006334,1.39163131538723e-06
"12","Insomnia",2121,"PRSstd_sum_std",0.687692420502052,0.11364276380253,2.7403959996413e-09
"13","Insomnia",1750,"PRS_gap_std",0.444795719091867,0.0928799387951535,2.21243908039367e-06
"14","Insomnia",1750,"PRSstd_gap_std",0.785104220426312,0.107756206664484,1.25292059408518e-12
"15","Insomnia",2121,"PRSstd_mgb_std",0.655249188104935,0.11130110343183,7.0285958903544e-09
"16","Short_sleep",624,"PRSsum_std",0.609158768689888,0.254530497602442,0.0173016101778605
"17","Short_sleep",624,"PRSstd_sum_std",0.727482603006209,0.230333993337811,0.00174488705383235
"18","Short_sleep",516,"PRS_gap_std",0.515256338372027,0.172578927993746,0.00308474506754659
"19","Short_sleep",516,"PRSstd_gap_std",0.837295938165847,0.196798966284616,2.87473762756774e-05
"20","Short_sleep",624,"PRSstd_mgb_std",0.732453734805677,0.179589295759676,5.78608527689171e-05
"21","Long_sleep",1077,"PRSsum_std",0.568998496741427,0.222032510737222,0.0107574442207083
"22","Long_sleep",1077,"PRSstd_sum_std",0.624441220441039,0.23551408146274,0.0083393938841585
"23","Long_sleep",843,"PRS_gap_std",0.446858890770353,0.156638337983979,0.00458524737087158
"24","Long_sleep",843,"PRSstd_gap_std",0.64735799460068,0.249961012787251,0.00999418791578931
"25","Long_sleep",1077,"PRSstd_mgb_std",0.531030867527658,0.242535679436737,0.029146739985701
"26","EDS",1093,"PRSsum_std",0.631594211333478,0.153951885956724,4.93079338903927e-05
"27","EDS",1093,"PRSstd_sum_std",0.750516897234342,0.145989812478317,4.24245962532412e-07
"28","EDS",865,"PRS_gap_std",0.521547426758931,0.10931473449965,2.62940262993579e-06
"29","EDS",865,"PRSstd_gap_std",0.799905846746524,0.145476716586803,7.0965418945101e-08
"30","EDS",1093,"PRSstd_mgb_std",0.735845552663675,0.124057012001422,6.38535508334308e-09
"31","Mild_OSA",1160,"PRSsum_std",0.462055199018129,0.159228397035179,0.00390548298739358
"32","Mild_OSA",1160,"PRSstd_sum_std",0.664645528108463,0.156437082039361,2.65240838348866e-05
"33","Mild_OSA",1002,"PRS_gap_std",0.4116835070747,0.110606971000686,0.00022608019505452
"34","Mild_OSA",1002,"PRSstd_gap_std",0.825066627290461,0.136288997875619,3.27273230444516e-09
"35","Mild_OSA",1160,"PRSstd_mgb_std",0.750376556349542,0.12684687429381,6.87498609122862e-09
"36","Mod_severe_OSA",607,"PRSsum_std",0.339355049137545,0.181686762706984,0.0627547496696042
"37","Mod_severe_OSA",607,"PRSstd_sum_std",0.403378102285947,0.171618565288969,0.0193925458250873
"38","Mod_severe_OSA",516,"PRS_gap_std",0.2376032875252,0.126760551077983,0.0619554039427345
"39","Mod_severe_OSA",516,"PRSstd_gap_std",0.361307160513663,0.161375052157624,0.0259783935737488
"40","Mod_severe_OSA",607,"PRSstd_mgb_std",0.365790417170753,0.133012988121235,0.00631704041136588
"41","Mild_severe_OSA",1767,"PRSsum_std",0.417672656754152,0.117017510917173,0.000393459098961489
"42","Mild_severe_OSA",1767,"PRSstd_sum_std",0.563405941607041,0.112423877065122,7.5785758479172e-07
"43","Mild_severe_OSA",1518,"PRS_gap_std",0.339242437151345,0.0828412914631286,4.97202726142279e-05
"44","Mild_severe_OSA",1518,"PRSstd_gap_std",0.629199112040099,0.104908123824945,4.00923271854858e-09
"45","Mild_severe_OSA",1767,"PRSstd_mgb_std",0.595762843776754,0.0922580126899224,2.58348025800677e-10
